t, eta
2.180180180180180116e+01,-3.917703115841575379e-02
2.186186186186186120e+01,-4.271764949215930973e-02
2.192192192192192124e+01,-4.578480992267364852e-02
2.198198198198198128e+01,-4.810295445225283573e-02
2.204204204204204132e+01,-4.946079109660796169e-02
2.210210210210210136e+01,-4.971628835167331284e-02
2.216216216216216139e+01,-4.879787966942767535e-02
2.222222222222222143e+01,-4.670199369141501966e-02
2.228228228228228147e+01,-4.348719921629434770e-02
2.234234234234234151e+01,-3.926540898073144908e-02
2.240240240240240155e+01,-3.419071640447009924e-02
2.246246246246246159e+01,-2.844653886034634663e-02
2.252252252252252163e+01,-2.223180567012151762e-02
2.258258258258258167e+01,-1.574695648114483523e-02
2.264264264264264170e+01,-9.180505312721101013e-03
2.270270270270270174e+01,-2.696878530061727793e-03
2.276276276276276178e+01,3.573845825578237257e-03
2.282282282282282182e+01,9.543780125332973138e-03
2.288288288288288186e+01,1.517226725867793814e-02
2.294294294294294190e+01,2.046788600319111515e-02
2.300300300300300194e+01,2.548734886681817274e-02
2.306306306306306197e+01,3.033138103019144410e-02
2.312312312312312201e+01,3.513782406007572717e-02
2.318318318318318205e+01,4.007234929625454883e-02
2.324324324324324209e+01,4.531728653891299585e-02
2.330330330330330213e+01,5.105916824178018815e-02
2.336336336336336217e+01,5.747565351449597515e-02
2.342342342342342221e+01,6.472252702720739104e-02
2.348348348348348225e+01,7.292146418173470201e-02
2.354354354354354228e+01,8.214921612298803355e-02
2.360360360360360232e+01,9.242879839376522133e-02
2.366366366366366236e+01,1.037231688816839942e-01
2.372372372372372240e+01,1.159317590940545512e-01
2.378378378378378244e+01,1.288900837335177629e-01
2.384384384384384248e+01,1.423725038315522828e-01
2.390390390390390252e+01,1.560980655853329291e-01
2.396396396396396256e+01,1.697391879004933601e-01
2.402402402402402259e+01,1.829328335944212791e-01
2.408408408408408263e+01,1.952936788064911222e-01
2.414414414414414267e+01,2.064286980542821004e-01
2.420420420420420271e+01,2.159525130819337502e-01
2.426426426426426275e+01,2.235028153268899531e-01
2.432432432432432279e+01,2.287551661510111578e-01
2.438438438438438283e+01,2.314365060459357970e-01
2.444444444444444287e+01,2.313367623804852835e-01
2.450450450450450290e+01,2.283180319864318575e-01
2.456456456456456294e+01,2.223209257300400588e-01
2.462462462462462298e+01,2.133677918310982191e-01
2.468468468468468302e+01,2.015626768597267582e-01
2.474474474474474306e+01,1.870880313070306389e-01
